Document,Category,Industry,Metric,Model,ReportingFramework
Australia AASB,8,4,56,5,1
IFRS S2,7,5,63,4,1
SASB Banks,8,1,38,5,1
SASB Semiconductors,11,1,44,12,1
TCFD Report,10,9,65,3,1
